group,team,FIFA,Coach,Key Player,,team1,team2,team3
A,Ecuador,44,Gustavo Alfaro,Enner Valencia,,Netherlands,Qatar,Senegal
A,Netherlands,8,Louis van Gaal,Virgil van Dijk,,Ecuador,Qatar,Senegal
A,Qatar,50,Félix Sánchez,Almoez Ali,,Ecuador,Netherlands,Senegal
A,Senegal,18,Aliou Cissé,Sadio Mané,,Ecuador,Netherlands,Qatar
B,England,5,Gareth Southgate,Harry Kane,,Iran,USA,Wales
B,Iran,20,Dragan Skočić,Sardar Azmoun,,England,USA,Wales
B,USA,16,Gregg Berhalter,Christian Pulisic,,England,Iran,Wales
B,Wales,19,Rob Page,Gareth Bale,,England,Iran,USA
C,Argentina,3,Lionel Scaloni,Lionel Messi,,Mexico,Poland,Saudi Arabia
C,Mexico,13,"Gerardo ""Tata"" Martino",Raúl Jiménez,,Argentina,Poland,Saudi Arabia
C,Poland,26,Czesław Michniewicz,Robert Lewandowski,,Argentina,Mexico,Saudi Arabia
C,Saudi Arabia,51,Hervé Renard,Salem Al-Dawsari,,Argentina,Mexico,Poland
D,Australia,38,Graham Arnold,Mathew Leckie,,Denmark,France,Tunisia
D,Denmark,10,Kasper Hjulmand,Christian Eriksen,,Australia,France,Tunisia
D,France,4,Didier Deschamps,N'Golo Kanté,,Australia,Denmark,Tunisia
D,Tunisia,30,Jalel Kadri,Wahbi Khazri,,Australia,Denmark,France
E,Costa Rica,31,Luis Fernando Suárez,Thiago Alcantara,,Germany,Japan,Spain
E,Germany,11,Hansi Flick,Thomas Muller,,Costa Rica,Japan,Spain
E,Japan,24,Hajime Moriyasu,Takumi Minamino,,Costa Rica,Germany,Spain
E,Spain,7,Luis Enrique,Thiago Alcantara,,Costa Rica,Germany,Japan
F,Belgium,2,Roberto Martínez,Kevin De Bruyne,,Canada,Croatia,Morocco
F,Canada,41,John Herdman,Alphonso Davies,,Belgium,Croatia,Morocco
F,Croatia,12,Zlatko Dalić,Luka Modric,,Belgium,Canada,Morocco
F,Morocco,22,Walid Regragui,Hakim Ziyech,,Belgium,Canada,Croatia
G,Brazil,1,Tite,Neymar,,Cameroon,Serbia,Switzerland
G,Cameroon,43,Rigobert Song,Vincent Aboubakar,,Brazil,Serbia,Switzerland
G,Serbia,21,Dragan Stojković,Sergej Milinković-Savić,,Brazil,Cameroon,Switzerland
G,Switzerland,15,Murat Yakin,Xherdan Shaqiri,,Brazil,Cameroon,Serbia
H,Ghana,61,Otto Addo,André Ayew,,Portugal,South Korea,Uruguay
H,Portugal,9,Fernando Santos,Cristiano Ronaldo,,Ghana,South Korea,Uruguay
H,South Korea,28,Paulo Bento,Son Heung-min,,Ghana,Portugal,Uruguay
H,Uruguay,14,Diego Alonso,Luis Suárez,,Ghana,Portugal,South Korea
