Year,Stage,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1930.0,Group 1,France,4.0,Mexico,1.0
1930.0,Group 4,USA,3.0,Belgium,0.0
1930.0,Group 2,Yugoslavia,2.0,Brazil,1.0
1930.0,Group 3,Romania,3.0,Peru,1.0
1930.0,Group 1,Argentina,1.0,France,0.0
1930.0,Group 1,Chile,3.0,Mexico,0.0
1930.0,Group 2,Yugoslavia,4.0,Bolivia,0.0
1930.0,Group 4,USA,3.0,Paraguay,0.0
1930.0,Group 3,Uruguay,1.0,Peru,0.0
1930.0,Group 1,Chile,1.0,France,0.0
1930.0,Group 1,Argentina,6.0,Mexico,3.0
1930.0,Group 2,Brazil,4.0,Bolivia,0.0
1930.0,Group 4,Paraguay,1.0,Belgium,0.0
1930.0,Group 3,Uruguay,4.0,Romania,0.0
1930.0,Group 1,Argentina,3.0,Chile,1.0
1930.0,Semi-finals,Argentina,6.0,USA,1.0
1930.0,Semi-finals,Uruguay,6.0,Yugoslavia,1.0
1930.0,Final,Uruguay,4.0,Argentina,2.0
1934.0,Preliminary round,Austria,3.0,France,2.0
1934.0,Preliminary round,Hungary,4.0,Egypt,2.0
1934.0,Preliminary round,Switzerland,3.0,Netherlands,2.0
1934.0,Preliminary round,Sweden,3.0,Argentina,2.0
1934.0,Preliminary round,Germany,5.0,Belgium,2.0
1934.0,Preliminary round,Spain,3.0,Brazil,1.0
1934.0,Preliminary round,Italy,7.0,USA,1.0
1934.0,Preliminary round,Czechoslovakia,2.0,Romania,1.0
1934.0,Quarter-finals,Czechoslovakia,3.0,Switzerland,2.0
1934.0,Quarter-finals,Germany,2.0,Sweden,1.0
1934.0,Quarter-finals,Italy,1.0,Spain,1.0
1934.0,Quarter-finals,Austria,2.0,Hungary,1.0
1934.0,Quarter-finals,Italy,1.0,Spain,0.0
1934.0,Semi-finals,Italy,1.0,Austria,0.0
1934.0,Semi-finals,Czechoslovakia,3.0,Germany,1.0
1934.0,Match for third place,Germany,3.0,Austria,2.0
1934.0,Final,Italy,2.0,Czechoslovakia,1.0
1938.0,First round,Switzerland,1.0,Germany,1.0
1938.0,First round,Hungary,6.0,Dutch East Indies,0.0
1938.0,First round,France,3.0,Belgium,1.0
1938.0,First round,Cuba,3.0,Romania,3.0
1938.0,First round,Italy,2.0,Norway,1.0
1938.0,First round,Brazil,6.0,Poland,5.0
1938.0,First round,Czechoslovakia,3.0,Netherlands,0.0
1938.0,First round,Cuba,2.0,Romania,1.0
1938.0,First round,Switzerland,4.0,Germany,2.0
1938.0,Quarter-finals,Brazil,1.0,Czechoslovakia,1.0
1938.0,Quarter-finals,Hungary,2.0,Switzerland,0.0
1938.0,Quarter-finals,Sweden,8.0,Cuba,0.0
1938.0,Quarter-finals,Italy,3.0,France,1.0
1938.0,Quarter-finals,Brazil,2.0,Czechoslovakia,1.0
1938.0,Semi-finals,Hungary,5.0,Sweden,1.0
1938.0,Semi-finals,Italy,2.0,Brazil,1.0
1938.0,Match for third place,Brazil,4.0,Sweden,2.0
1938.0,Final,Italy,4.0,Hungary,2.0
1950.0,Group 1,Brazil,4.0,Mexico,0.0
1950.0,Group 2,England,2.0,Chile,0.0
1950.0,Group 2,Spain,3.0,USA,1.0
1950.0,Group 3,Sweden,3.0,Italy,2.0
1950.0,Group 1,Yugoslavia,3.0,Switzerland,0.0
1950.0,Group 1,Brazil,2.0,Switzerland,2.0
1950.0,Group 1,Yugoslavia,4.0,Mexico,1.0
1950.0,Group 2,Spain,2.0,Chile,0.0
1950.0,Group 3,Sweden,2.0,Paraguay,2.0
1950.0,Group 2,USA,1.0,England,0.0
1950.0,Group 1,Brazil,2.0,Yugoslavia,0.0
1950.0,Group 2,Spain,1.0,England,0.0
1950.0,Group 3,Italy,2.0,Paraguay,0.0
1950.0,Group 4,Uruguay,8.0,Bolivia,0.0
1950.0,Group 1,Switzerland,2.0,Mexico,1.0
1950.0,Group 2,Chile,5.0,USA,2.0
1950.0,Group 6,Uruguay,2.0,Spain,2.0
1950.0,Group 6,Brazil,7.0,Sweden,1.0
1950.0,Group 6,Brazil,6.0,Spain,1.0
1950.0,Group 6,Uruguay,3.0,Sweden,2.0
1950.0,Group 6,Sweden,3.0,Spain,1.0
1950.0,Group 6,Uruguay,2.0,Brazil,1.0
1954.0,Group 3,Uruguay,2.0,Czechoslovakia,0.0
1954.0,Group 3,Austria,1.0,Scotland,0.0
1954.0,Group 1,Brazil,5.0,Mexico,0.0
1954.0,Group 1,Yugoslavia,1.0,France,0.0
1954.0,Group 2,Germany,4.0,Turkey,1.0
1954.0,Group 2,Hungary,9.0,South Korea,0.0
1954.0,Group 4,England,4.0,Belgium,4.0
1954.0,Group 4,Switzerland,2.0,Italy,1.0
1954.0,Group 3,Uruguay,7.0,Scotland,0.0
1954.0,Group 3,Austria,5.0,Czechoslovakia,0.0
1954.0,Group 1,France,3.0,Mexico,2.0
1954.0,Group 1,Brazil,1.0,Yugoslavia,1.0
1954.0,Group 2,Hungary,8.0,Germany,3.0
1954.0,Group 2,Turkey,7.0,South Korea,0.0
1954.0,Group 4,England,2.0,Switzerland,0.0
1954.0,Group 4,Italy,4.0,Belgium,1.0
1954.0,Group 2,Germany,7.0,Turkey,2.0
1954.0,Group 4,Switzerland,4.0,Italy,1.0
